product_name,price (INR),rating,URL,reviews
"URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L",918,3.9 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQzMDYwNDM5NDAzNjU1OjE2OTc2NDQ3MDQ6c3BfbXRmOjMwMDA3MTkxNjIyNjczMjo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_236_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644704%26sprefix%3Dba%252Caps%252C283%26sr%3D8-236-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,821
Wesley Zenith 16 inch Anti-Theft Backpack with USB Charging Executive Business Office Casual Waterproof Laptop/Office/School/College/Business Bag/Travel Backpack,799,4.0 out of 5 stars,https://www.amazon.in/Wesley-Anti-Theft-backpack-Executive-Waterproof/dp/B08K7PCPJV/ref=sr_1_237?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-237,88
Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,"1,009",4.4 out of 5 stars,https://www.amazon.in/Laptops-College-Backpack-Charging-Anti-Theft/dp/B0C6639P8P/ref=sr_1_238?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-238,138
Good Friends Laptop Bag/Backpack for Boys Girls/Office School College Teens & Students Waterproof School Bag,494,N/A,https://www.amazon.in/Good-Friends-Backpack-Students-Waterproof/dp/B0BPF4QWV2/ref=sr_1_239?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-239,N/A
"AirCase premium laptop bag with handle & shoulder strap fits upto 15.6"" laptop/ macbook, wrinkle free, padded, waterproof light polyester case cover sleeve pouch, for men & women, Black- 6 months warranty",499,4.2 out of 5 stars,https://www.amazon.in/AirCase-shoulder-waterproof-polyester-warranty/dp/B0B619LH6H/ref=sr_1_240?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-240,95
"Arctic Hunter Sling Bag for Men Semi-hard Shell Water-resistant Cross Bag for Men Chest Bag with USB Port & Earphone Jack Men Side Bag with 9.7-inch iPad Pocket Passport Bag for Travel,Black","1,713",4.4 out of 5 stars,https://www.amazon.in/Semi-hard-Water-resistant-Earphone-9-7-inch-Passport/dp/B084RHGTCQ/ref=sr_1_241?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-241,650
Gear Double Decker 31L Large Water Resistant Faux Leather Anti-Theft Laptop Bag/Backpack/Office Bag for Men/Women (Navy-Tan),985,3.6 out of 5 stars,https://www.amazon.in/Gear-DOUBLE-Resistant-Backpack-Navy-Tan/dp/B0BTJ2T26W/ref=sr_1_242?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-242,47
ZaySoo Stylish Casual Laptop Backpack/Office Bag/College Bag/Business Bag/Travel Backpack - Navyblue,307,5.0 out of 5 stars,https://www.amazon.in/ZaySoo-Stylish-Backpack-College-Business/dp/B0BVZL49N8/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-243,2
Gear ECO1 24L Medium Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Grey-Black-Yellow),759,4.1 out of 5 stars,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1697644704&sprefix=ba%2Caps%2C283&sr=8-244,"1,497"
TRAWOC Travel Backpack - 40 Litre Laptop Bag with Rain Cover & Shoe Compartment - Versatile Casual Bag - Ideal Backpack for Men and Women,"1,345",5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQzMDYwNDM5NDAzNjU1OjE2OTc2NDQ3MDQ6c3BfYnRmOjMwMDA2MzEzNzY3ODgzMjo6MDo6&url=%2FTRAWOC-Travel-Backpack-Compartment-Women-Olivegreen%2Fdp%2FB0CFFLCBKZ%2Fref%3Dsr_1_245_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644704%26sprefix%3Dba%252Caps%252C283%26sr%3D8-245-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,2
